IdentifierType,IdentifierValue,AmortizedCost_USDEquivalent,MarketValue_USDEquivalent,AccountingIntent,TypeOfHedge,HedgedRisk,HedgeInterestRate,HedgePercentage,HedgeHorizon,HedgedCashFlow,Sidedness,HedgingInstrumentAtFairValue,EffectivePortionOfCumulativeGainsAndLosses,ASU2017-12HedgeDesignations
ISIN,ID-000663,741234.4164,349000.8549,AFS,1,1,2,0.0972,11/22/2000,1,1,1071057.516,451686.8046,3
INTERNAL,ID-000664,668753.2409,320461.1837,EQ,2,2,4,0.9516,6/22/2011,3,1,1531810.149,302963.3259,2
SEDOL,ID-000665,714248.9488,586586.526,AFS,1,9,4,0.8567,6/11/2033,1,1,1414780.277,280152.052,3
CUSIP,ID-000666,547515.0056,394173.0278,AFS,1,7,1,0.4523,5/29/2012,4,2,1118886.645,243057.5465,1
INTERNAL,ID-000667,586883.8477,617329.399,HTM,1,4,4,0.8124,7/22/2018,4,1,2057784.821,235171.3135,3
CUSIP,ID-000668,532832.4995,,HTM,2,9,5,0.7886,1/7/2025,1,2,1072350.938,208313.3541,3
INTERNAL,ID-000669,751494.7256,660961.2922,AFS,1,5,5,0.1442,7/12/2019,5,2,1043669.682,298079.2317,3
ISIN,ID-000670,516024.2267,470315.2534,EQ,2,4,2,0.3989,6/26/2010,2,2,1753457.297,294872.9614,2
SEDOL,ID-000671,688570.3546,844873.1805,AFS,1,4,4,0.6887,11/11/2014,1,1,1089733.283,245706.9117,1
ISIN,ID-000672,593474.2276,223172.7796,HTM,2,7,2,0.6455,2/20/2023,5,1,1994362.892,308911.6737,1
CUSIP,ID-000673,734103.0411,400638.8969,AFS,2,7,5,0.2954,10/17/2034,3,2,1083889.145,233594.2336,2
ISIN,ID-000674,800235.3404,614017.4107,HTM,2,10,3,0.9763,6/29/2018,2,1,1105042.314,243473.6173,1
ISIN,ID-000675,898174.4596,603908.008,HTM,2,11,1,0.88,4/18/2005,1,1,1205531.037,223522.1457,3
INTERNAL,ID-000676,729233.521,534232.3714,AFS,1,3,5,0.3269,7/28/2015,3,2,1821578.716,277687.9153,2
CUSIP,ID-000677,716744.3086,511878.9804,EQ,1,9,3,0.3371,6/30/2015,4,2,1215878.239,247942.7681,3
INTERNAL,ID-000678,612779.8469,610354.4604,EQ,2,11,2,0.6937,8/9/2033,6,1,1731511.869,233092.0734,3
SEDOL,ID-000679,576917.5038,471629.6081,AFS,2,5,3,0.5276,11/20/2025,4,2,1724007.65,215146.0046,1
INTERNAL,ID-000680,541368.4133,524770.3682,HTM,1,4,2,0.9494,9/8/2031,6,1,1111296.453,242757.4872,1
CUSIP,ID-000681,672509.1469,,EQ,2,4,4,0.8116,12/18/2025,1,1,1662920.469,241060.75,3
ISIN,ID-000682,709535.7499,391195.2307,AFS,1,8,3,0.2181,7/15/2022,3,2,1020589.081,220215.355,2
SEDOL,ID-000683,,669921.3708,HTM,1,11,2,0.7608,7/27/2018,1,2,2044718.864,242652.4145,1
CUSIP,ID-000684,565756.7391,635360.4081,HTM,2,10,5,0.5852,10/18/2010,2,1,1123591.057,309637.7146,1
ISIN,ID-000685,831715.9726,532456.6553,HTM,1,5,5,0.4927,,4,2,1070610.073,,1
INTERNAL,ID-000686,913549.5975,343004.9436,EQ,1,3,1,0.8084,6/13/2029,5,1,1785614.153,229960.0447,1
CUSIP,ID-000687,728449.1875,520611.5565,HTM,1,8,1,0.7391,7/23/2035,5,1,1220689.438,311375.7857,1
ISIN,ID-000688,1043480.874,328334.9033,HTM,1,5,1,0.0731,10/8/2014,6,2,1380330.793,217933.2619,1
CUSIP,ID-000689,597581.303,434604.1266,HTM,2,3,4,0.5173,7/11/2000,3,1,1049897.598,229163.7434,1
SEDOL,ID-000690,573657.8127,581741.0811,HTM,1,11,4,0.2173,10/18/2013,3,1,1232880.02,400103.6722,1
CUSIP,ID-000691,722392.8242,434871.973,AFS,1,4,4,0.1948,3/27/2016,5,2,1333676.168,357436.9778,1
SEDOL,ID-000692,950700.1462,475672.9108,EQ,2,2,1,0.3507,8/6/2012,6,1,1475097.456,226687.5452,1
SEDOL,ID-000693,779878.028,436972.6078,AFS,1,4,4,0.9271,4/14/2005,3,2,1065368.355,323693.5875,1
ISIN,ID-000694,646528.6995,669755.9558,HTM,1,4,3,0.3572,4/16/2007,6,1,1054363.795,436086.2674,1
INTERNAL,ID-000695,863080.1438,658554.4216,HTM,2,6,3,0.0538,12/30/2008,3,2,1027896.548,290603.6376,2
ISIN,ID-000696,863955.9597,484143.9029,EQ,2,3,5,0.5456,6/8/2011,6,1,1099205.195,340559.7528,3
INTERNAL,ID-000697,667634.4285,600501.9437,EQ,2,7,1,0.4537,10/14/2025,5,2,1206609.132,227361.2505,1
SEDOL,ID-000698,577429.1067,553172.715,HTM,2,4,5,0.0372,7/11/2022,3,2,1631074.114,270770.7132,2
ISIN,ID-000699,747016.3796,465635.6875,HTM,1,4,2,0.5534,4/12/2035,5,1,1003937.83,280136.1579,1
CUSIP,ID-000700,652211.109,641324.2003,HTM,1,9,4,0.201,3/17/2005,3,2,1159686.869,220002.2164,3
SEDOL,ID-000701,678371.5196,513657.2933,HTM,2,4,3,0.8156,9/18/2027,4,2,1612770.464,231723.9136,1
SEDOL,ID-000702,947346.0345,465924.8741,AFS,1,3,1,0.7074,9/10/2024,1,2,1163008.026,314871.8697,1
CUSIP,ID-000703,743383.1278,634799.8845,AFS,1,4,4,0.3357,8/27/2007,3,2,1175009.937,262907.1053,1
SEDOL,ID-000704,688970.559,571014.9432,EQ,1,7,1,0.4092,6/17/2004,1,2,1148075.042,321380.6948,2
CUSIP,ID-000705,740098.4671,382464.3614,AFS,2,5,1,0.9467,10/8/2027,4,1,1369432.152,225562.6824,2
SEDOL,ID-000706,666573.4743,492307.9754,EQ,2,2,5,0.6275,5/12/2018,6,1,1116846.995,211170.6913,3
CUSIP,ID-000707,697987.0882,448189.5425,EQ,1,1,2,0.4286,12/13/2034,3,1,1112728.278,227589.3895,3
ISIN,ID-000708,761027.8307,588659.857,AFS,1,3,4,0.01,3/20/2022,5,1,1247499.209,232302.9841,1
CUSIP,ID-000709,738950.6117,487012.4942,EQ,1,6,2,0.123,8/28/2016,2,1,1049121.978,205475.1456,3
CUSIP,ID-000710,927064.4586,446340.6944,AFS,1,2,4,0.75,10/3/2008,2,2,1074166.832,235228.927,3
SEDOL,ID-000711,649996.7051,263076.6872,EQ,1,7,5,0.1194,7/20/2007,6,1,1220626.556,411511.5116,1
CUSIP,ID-000712,650442.219,657833.9018,AFS,1,2,4,0.3038,7/20/2008,1,1,1156937.061,360878.4728,3
SEDOL,ID-000713,642226.9045,384489.9946,AFS,2,2,1,0.8646,8/20/2004,1,2,1526593.742,232712.078,3
INTERNAL,ID-000714,622640.7917,529808.3011,EQ,2,3,4,0.0156,7/18/2001,4,2,1008665.315,236744.446,2
SEDOL,ID-000715,533113.8237,320902.1216,HTM,1,2,3,0.8874,3/6/2007,5,2,1198346.967,266696.399,3
SEDOL,ID-000716,642814.0679,543791.5999,AFS,2,9,4,0.0969,11/12/2000,4,2,1192367.002,230474.4032,1
CUSIP,ID-000717,669586.3821,496104.052,AFS,2,2,5,0.7016,6/13/2012,3,1,1604752.318,245213.7514,2
ISIN,ID-000718,772033.3769,459715.8693,AFS,1,9,1,0.3657,7/25/2003,3,1,1252437.151,222567.2963,1
ISIN,ID-000719,687794.0017,758994.8904,HTM,2,9,1,0.432,9/23/2019,6,2,1276591.339,269407.134,2
ISIN,ID-000720,712338.5918,483621.6212,AFS,1,2,2,0.7992,6/23/2014,5,1,1397932.534,241812.3849,1
SEDOL,ID-000721,694509.3514,399746.7324,AFS,1,5,3,0.4419,10/20/2009,3,1,1619420.361,267607.0436,2
SEDOL,ID-000722,655372.8134,298498.0767,HTM,2,7,4,0.1543,7/11/2028,1,2,1084584.372,324179.2726,2
SEDOL,ID-000723,530597.5076,544886.9768,EQ,2,4,2,0.941,7/25/2020,1,2,1152457.294,285572.215,1
SEDOL,ID-000724,586186.9743,391086.7244,AFS,2,2,4,0.1634,5/29/2010,4,1,1453798.641,276843.8464,2
ISIN,ID-000725,747911.408,183615.4661,EQ,1,7,2,0.0596,12/22/2009,1,1,1681280.602,205654.5299,3
ISIN,ID-000726,626833.7216,618599.6513,EQ,1,2,2,0.6091,6/2/2018,5,2,1070679.431,314094.3209,1
CUSIP,ID-000727,587320.9562,417948.2519,HTM,2,8,1,0.2727,9/24/2028,2,2,1121933.926,294226.2798,3
INTERNAL,ID-000728,629065.404,479537.5972,HTM,2,9,3,0.9653,4/10/2012,5,1,1855770.523,300743.7981,2
CUSIP,ID-000729,841658.1572,540578.5249,EQ,2,11,1,0.5634,5/7/2035,2,1,1607568.425,244369.3535,3
ISIN,ID-000730,788501.0877,458758.35,EQ,2,11,5,0.7079,3/13/2029,3,2,1077799.707,206234.5445,1
SEDOL,ID-000731,674356.6148,565309.2374,AFS,1,10,5,0.1598,8/14/2035,6,2,1172616.076,359020.3201,1
CUSIP,ID-000732,1116806.815,459879.8739,HTM,1,4,4,0.5785,12/2/2022,5,2,1215124.392,237521.6676,3
CUSIP,ID-000733,984447.0336,565443.8842,HTM,2,9,2,0.453,3/25/2027,2,2,1141744.426,,2
SEDOL,ID-000734,660046.4527,498223.6324,EQ,1,11,3,0.4342,1/11/2015,2,1,1745933.297,204501.2344,3
CUSIP,ID-000735,665145.1683,383154.5868,EQ,1,5,5,0.2563,10/27/2007,3,1,1072271.113,260771.2143,2
SEDOL,ID-000736,742946.541,481659.1877,AFS,1,6,4,0.0559,3/18/2019,3,1,1224636.319,220050.1324,1
ISIN,ID-000737,581290.9984,543887.0547,HTM,1,2,1,0.6345,5/5/2002,1,2,1365626.543,233215.6255,3
SEDOL,ID-000738,629429.0336,461762.0456,HTM,1,6,5,0.0707,8/28/2007,3,1,1040692.001,291655.9243,1
INTERNAL,ID-000739,675741.8211,298698.7208,EQ,1,11,5,0.5837,7/29/2001,4,2,1137602.935,247415.1471,2
SEDOL,ID-000740,737546.9128,609760.2479,AFS,2,4,5,0.5064,2/12/2031,5,2,1174637.696,1697514.236,2
INTERNAL,ID-000741,714875.2201,370238.8196,HTM,2,4,5,0.9286,3/26/2029,4,2,1179801.607,,2
CUSIP,ID-000742,624522.5609,468518.0458,HTM,1,2,1,0.0145,10/12/2018,5,1,1013732.959,231656.936,1
CUSIP,ID-000743,760394.5612,344815.4382,EQ,1,6,1,0.8751,11/23/2032,6,1,1325790.918,,1
INTERNAL,ID-000744,840583.9294,637683.9916,AFS,2,11,3,0.1229,7/30/2004,3,1,1149100.554,223970.1679,1
SEDOL,ID-000745,798220.941,376819.4809,EQ,2,8,5,0.8469,10/30/2004,3,2,1442691.922,222633.4743,2
ISIN,ID-000746,511623.99,661643.257,HTM,2,6,4,0.0417,5/15/2015,3,2,1027501.693,229547.5267,2
CUSIP,ID-000747,606907.7748,620945.8234,AFS,2,1,5,0.521,,5,2,1068570.07,249795.6809,3
CUSIP,ID-000748,860223.6195,759329.4233,AFS,2,11,5,0.2032,1/19/2028,4,2,1247046.744,226844.6323,2
ISIN,ID-000749,594806.9615,557868.6844,HTM,2,8,3,0.924,7/8/2033,1,1,1177693.684,249584.9178,1
CUSIP,ID-000750,750739.5339,565758.1985,HTM,2,6,5,0.428,11/6/2033,1,1,1329221.44,364316.1725,2
ISIN,ID-000751,545815.1955,619803.7797,EQ,1,3,5,0.3564,1/9/2002,3,1,1169289.593,318401.5388,3
SEDOL,ID-000752,576927.5919,637446.8691,AFS,1,5,2,0.9219,10/16/2028,2,1,1377110.013,233109.205,2
CUSIP,ID-000753,601855.5992,,EQ,2,8,5,0.8656,5/2/2016,3,2,1633914.619,272847.4949,3
SEDOL,ID-000754,922505.7268,417215.707,AFS,2,10,5,0.691,8/22/2031,5,2,1115394.591,202680.0949,1
SEDOL,ID-000755,709420.1639,466946.8607,EQ,2,6,1,0.7905,6/12/2013,3,2,1052664.018,214976.7232,2
SEDOL,ID-000756,713976.2615,496049.434,HTM,1,10,5,0.0434,9/29/2002,1,1,1060566.435,204378.3508,2
INTERNAL,ID-000757,871347.551,473457.1392,EQ,1,6,5,0.6431,6/21/2026,5,2,1031749.802,258321.3687,3
CUSIP,ID-000758,670460.4679,302088.742,EQ,1,1,2,0.5657,12/26/2008,2,1,1305263.226,220910.834,3
CUSIP,ID-000759,659761.568,587763.9976,HTM,2,1,5,0.0046,1/29/2027,3,2,1215646.898,229701.8229,1
ISIN,ID-000760,555957.2247,462597.2619,EQ,2,2,5,0.8198,12/23/2025,2,1,1134177.469,396160.471,1
INTERNAL,ID-000761,616437.068,404998.5209,EQ,1,4,2,0.035,11/10/2028,4,1,1081743.13,232305.3284,3
CUSIP,ID-000762,583134.6268,425734.6869,HTM,1,9,2,0.6226,7/5/2021,3,1,1640371.572,327075.8792,1
INTERNAL,ID-000763,984959.4236,539707.0927,AFS,1,1,1,0.6167,7/6/2035,5,2,1261867.761,214914.9586,1
CUSIP,ID-000764,728086.6516,242746.8118,EQ,1,1,3,0.8885,3/31/2021,2,1,1345398.739,265065.0417,2
CUSIP,ID-000765,538958.5216,727406.7616,EQ,1,4,1,0.8544,4/15/2018,5,1,1255233.77,253628.7543,2
ISIN,ID-000766,725517.1153,555743.3717,AFS,1,6,1,0.3259,10/30/2011,3,1,1140930.891,212718.6117,2
SEDOL,ID-000767,791260.4512,683473.3175,EQ,2,9,1,0.7181,1/5/2012,6,1,1187797.951,300229.5871,2
ISIN,ID-000768,616629.6268,720900.5902,HTM,2,5,3,0.6122,12/8/2005,1,2,1061244.703,224108.3317,3
CUSIP,ID-000769,571840.7113,457845.8853,HTM,2,9,5,0.4194,7/12/2026,3,2,1152450.163,215347.5434,2
ISIN,ID-000770,675362.5298,457036.921,EQ,1,8,4,0.3819,4/7/2013,4,1,2015854.041,252088.623,1
INTERNAL,ID-000771,654051.9119,458932.9476,EQ,1,6,5,0.5733,,1,2,1139560.082,224304.4637,3
CUSIP,ID-000772,999231.2972,678356.971,EQ,2,3,3,0.9582,8/25/2017,6,2,1041264.445,321967.5686,3
CUSIP,ID-000773,589504.0493,399769.4581,HTM,2,5,3,0.9086,5/11/2017,1,2,1936218.16,260843.7545,2
ISIN,ID-000774,627900.2949,541514.9185,EQ,1,6,4,0.0942,12/27/2017,2,2,1362254.342,276019.2676,1
SEDOL,ID-000775,628285.5774,528234.8932,AFS,2,10,5,0.6559,12/19/2003,5,1,1395600.262,308677.1476,3
SEDOL,ID-000776,670124.6906,306335.4507,AFS,1,1,4,0.5823,6/21/2025,1,2,1329956.113,289810.916,2
ISIN,ID-000777,1019615.301,492579.549,AFS,2,4,1,0.8554,7/30/2027,4,2,1341239.767,271926.7277,3
CUSIP,ID-000778,504926.8664,565049.6122,HTM,2,5,1,0.917,10/1/2021,3,2,1244172.703,208828.4529,2
ISIN,ID-000779,688760.0708,523898.4473,HTM,2,3,4,0.9117,7/24/2020,6,1,1100085.822,261764.8614,1
CUSIP,ID-000780,743445.6658,,HTM,2,1,5,0.0038,5/26/2022,1,1,1114806.735,281434.084,2
CUSIP,ID-000781,794475.4022,493629.598,HTM,1,5,5,0.6445,2/14/2029,4,1,1098042.759,345680.8355,1
SEDOL,ID-000782,779569.7011,570282.231,HTM,1,6,1,0.5318,8/29/2031,4,2,1540200.629,386833.4688,2
INTERNAL,ID-000783,808393.2106,517779.914,EQ,2,9,3,0.8894,5/8/2030,6,2,1357695.47,240514.1461,3
CUSIP,ID-000784,591078.4255,514091.7817,AFS,1,1,1,0.4149,,6,2,1176126.379,271645.5736,2
ISIN,ID-000785,686580.1857,560947.7561,AFS,1,9,1,0.4661,5/9/2004,4,2,1032025.175,385982.872,3
INTERNAL,ID-000786,658701.2119,705604.1076,EQ,1,3,3,0.3191,10/24/2015,5,1,1033323.289,270464.7845,3
CUSIP,ID-000787,643177.5858,538383.21,AFS,1,1,5,0.0163,8/18/2009,6,1,1107804.353,235962.5139,2
SEDOL,ID-000788,951643.0143,449405.6748,EQ,2,1,2,0.1099,8/20/2019,4,2,1777233.64,400709.2496,3
CUSIP,ID-000789,544912.6878,634495.4489,HTM,2,3,4,0.6902,6/3/2015,5,2,1057466.333,292771.3871,2
SEDOL,ID-000790,687665.0244,573685.1512,EQ,2,8,4,0.9017,11/3/2022,3,2,1344563.085,254799.0385,1
ISIN,ID-000791,724840.7771,586395.4001,EQ,2,10,2,0.0591,4/16/2003,6,1,1091060.646,259023.808,3
SEDOL,ID-000792,669790.0604,517776.6536,EQ,2,7,4,0.84,8/23/2009,3,1,1160408.6,285578.7451,3
INTERNAL,ID-000793,556468.9163,251769.7534,HTM,2,5,4,0.7038,4/23/2019,4,2,2057441.039,328053.4814,2
ISIN,ID-000794,835675.8824,,AFS,2,8,4,0.4699,12/19/2024,1,1,1065499.414,208546.4962,1
SEDOL,ID-000795,690606.8821,473059.0551,HTM,2,2,2,0.2089,10/4/2023,3,2,1223830.279,307030.7317,3
SEDOL,ID-000796,871706.8203,637263.0954,AFS,1,5,1,0.686,2/2/2027,5,2,1091770.159,206778.5585,2
INTERNAL,ID-000797,822173.0341,299417.7414,HTM,1,5,2,0.5558,6/12/2010,1,2,1405414.927,357157.916,2
CUSIP,ID-000798,561333.2297,563300.744,EQ,1,6,5,0.648,7/7/2023,3,2,1164020.073,359972.8895,1
ISIN,ID-000799,572498.4898,662902.4044,HTM,2,9,3,0.8283,12/22/2008,2,2,1224073.384,232551.1833,3
INTERNAL,ID-000800,753565.052,535923.32,EQ,2,7,5,0.0109,8/4/2035,6,1,1282539.098,280358.3616,3
INTERNAL,ID-000801,739067.8208,311502.3421,EQ,1,2,5,0.255,10/18/2031,3,1,1266986.301,311643.6887,2
CUSIP,ID-000802,630165.0904,470488.8375,EQ,2,1,2,0.2054,9/19/2010,6,2,1096969.323,123312.3537,3
CUSIP,ID-000803,,342998.9037,EQ,2,3,4,0.2781,10/14/2024,4,1,1017944.04,314334.95,1
SEDOL,ID-000804,633690.7782,466651.9819,HTM,2,5,3,0.9181,9/17/2008,4,2,1259003.671,202133.1689,2
ISIN,ID-000805,910119.9247,515439.7794,HTM,2,1,4,0.3361,2/13/2020,2,2,1082471.631,209536.7404,2
SEDOL,ID-000806,1122969.044,419482.662,HTM,2,11,1,0.395,5/3/2035,6,1,,316840.6442,1
ISIN,ID-000807,978145.6904,620159.2077,AFS,1,10,4,0.3666,7/24/2030,3,1,,225466.1661,2
SEDOL,ID-000808,528731.9538,365364.417,AFS,1,8,5,0.9885,12/2/2009,3,2,1109014.665,357158.5164,3
SEDOL,ID-000809,607451.0088,168572.3162,AFS,1,11,2,0.1942,9/20/2020,3,1,1748522.516,260385.7529,2
ISIN,ID-000810,629507.0429,432777.5039,AFS,1,8,2,0.6497,9/30/2006,6,1,1032724.491,211371.2146,2
ISIN,ID-000811,565964.6485,492825.0159,HTM,1,3,4,0.8294,1/23/2028,4,2,1024639.899,214643.2622,2
SEDOL,ID-000812,601552.5559,651000.7953,EQ,2,8,2,0.0626,10/6/2031,3,1,1516965.883,256671.4359,1
ISIN,ID-000813,842664.7533,492236.5077,HTM,1,10,5,0.046,10/19/2011,3,2,1214865.594,248855.6048,3
ISIN,ID-000814,762584.7373,571050.0883,AFS,1,2,5,0.0172,7/26/2012,2,2,,242062.8188,3
ISIN,ID-000815,811060.6523,490571.5396,HTM,2,2,5,0.709,11/3/2013,2,1,1189969.128,205337.1051,3
SEDOL,ID-000816,865710.3999,498738.3439,EQ,2,10,4,0.931,,1,2,1104707.039,250393.4048,3
CUSIP,ID-000817,569057.0828,688826.2879,EQ,1,7,3,0.6722,2/16/2035,6,1,1058567.396,296660.9214,2
ISIN,ID-000818,776212.3485,466255.1052,AFS,1,6,5,0.7662,12/25/2031,4,1,1501156.225,247249.8643,3
SEDOL,ID-000819,754311.6485,609383.1988,EQ,2,9,5,0.4194,10/25/2031,6,2,1129525.283,215565.1777,2
ISIN,ID-000820,932781.6239,397835.6931,EQ,2,2,1,0.5483,2/6/2011,1,1,1424431.255,215839.7438,3
ISIN,ID-000821,582955.9697,752485.5169,EQ,2,2,1,0.9844,11/30/2017,6,1,1376265.816,301410.1374,2
SEDOL,ID-000822,640398.6305,440656.0561,AFS,1,7,1,0.1187,2/7/2028,5,1,1131059.49,237001.1966,3
CUSIP,ID-000823,657760.7703,464508.314,AFS,1,7,3,0.756,7/23/2022,5,1,1114926.974,341447.7896,2
SEDOL,ID-000824,854503.1102,369066.6827,AFS,2,10,1,0.8827,12/2/2001,3,1,1270724.598,316278.7521,2
ISIN,ID-000825,688909.5919,449552.7611,EQ,2,9,5,0.6075,,2,2,2160119.646,268640.561,1
CUSIP,ID-000826,633436.1662,555867.9863,HTM,1,8,5,0.4455,9/6/2022,2,2,1943085.338,215741.0564,3
INTERNAL,ID-000827,580884.5204,633719.0255,HTM,2,9,5,0.6607,8/4/2012,1,2,1274071.453,205258.774,1
CUSIP,ID-000828,,496276.5995,AFS,1,10,5,0.7513,2/11/2006,6,2,1308424.844,305564.6726,2
ISIN,ID-000829,655906.5212,604014.6194,AFS,2,11,4,0.7247,7/17/2033,3,1,1501313.968,282936.2298,1
CUSIP,ID-000830,748090.7697,464381.1958,HTM,1,1,3,0.1523,1/11/2017,5,2,1181579.346,275784.3133,3
SEDOL,ID-000831,550053.4378,424413.2808,AFS,2,1,2,0.2794,3/17/2031,5,1,1048874.471,213173.9005,3
ISIN,ID-000832,570882.3537,450985.716,HTM,1,11,2,0.8058,9/7/2018,4,1,1156046.848,235668.7907,2
SEDOL,ID-000833,676534.2711,596154.6898,AFS,2,2,3,0.1845,5/2/2031,4,2,1839883.738,339496.6159,1
SEDOL,ID-000834,606590.6842,539512.1689,HTM,1,7,5,0.2952,3/16/2031,2,1,1875734.003,268528.1921,2
INTERNAL,ID-000835,844297.6743,433510.6116,EQ,1,3,1,0.2102,11/10/2013,4,2,2366492.331,382183.4075,1
ISIN,ID-000836,577093.1083,808560.2773,AFS,2,5,5,0.2016,12/1/2009,2,1,1157478.199,248706.1738,3
INTERNAL,ID-000837,582535.841,352605.282,HTM,2,5,4,0.936,7/20/2034,5,2,1094299.702,243528.1943,2
INTERNAL,ID-000838,688933.5083,416570.343,HTM,2,8,1,0.8925,5/10/2015,2,2,1114155.333,239822.206,1
SEDOL,ID-000839,690531.5925,611770.9863,EQ,1,5,1,0.4026,8/12/2001,2,1,1053807.865,247468.3055,3
SEDOL,ID-000840,671491.4155,331560.6736,EQ,1,6,4,0.5172,5/2/2013,3,1,1101705.955,,3
SEDOL,ID-000841,516833.1899,635205.0792,EQ,1,1,1,0.8369,12/2/2012,1,2,1789392.059,322963.7822,2
SEDOL,ID-000842,671268.8798,469422.8646,AFS,2,4,4,0.7508,12/28/2011,2,2,1233594.602,248133.4514,1
SEDOL,ID-000843,639648.9906,121776.0409,AFS,2,10,5,0.6016,3/18/2013,2,1,1023610.009,202313.784,3
CUSIP,ID-000844,832920.2798,301052.1616,AFS,2,10,2,0.1469,8/31/2013,1,2,3887666.067,220358.3562,1
ISIN,ID-000845,1076542.218,428207.3719,AFS,2,1,4,0.804,1/1/2021,5,2,1167101.2,212271.9247,1
INTERNAL,ID-000846,820267.6023,385471.353,AFS,2,2,2,0.893,1/28/2003,1,2,1102920.921,221779.1416,3
INTERNAL,ID-000847,871023.6036,557775.8695,AFS,1,1,4,0.9423,8/18/2021,1,2,1617992.509,281668.5942,1
INTERNAL,ID-000848,654298.4182,344111.1562,AFS,1,5,1,0.5278,9/20/2013,3,2,1107851.213,,1
CUSIP,ID-000849,815828.3469,571822.7846,AFS,2,6,3,0.1761,10/27/2003,6,1,1568574.695,208577.0938,1
CUSIP,ID-000850,620421.1859,543942.0554,AFS,2,3,3,0.622,9/29/2007,3,1,1109154.521,215485.8156,3
CUSIP,ID-000851,553247.999,361676.275,AFS,2,2,5,0.1765,9/4/2005,5,2,1542495.146,313892.3914,2
CUSIP,ID-000852,633308.493,675667.1362,EQ,1,7,2,0.9435,4/1/2035,4,2,1300859.209,211917.2839,3
SEDOL,ID-000853,598295.6752,673254.9921,EQ,1,2,3,0.4351,1/3/2000,3,2,1322585.704,323578.824,1
SEDOL,ID-000854,764968.7071,244789.2195,HTM,2,6,5,0.8131,5/8/2029,2,1,1176601.57,285667.8037,3
INTERNAL,ID-000855,741257.1638,381856.9113,EQ,1,6,4,0.5972,1/12/2035,6,2,1696312.977,271178.6778,2
CUSIP,ID-000856,629342.9761,488510.0183,HTM,2,7,1,0.8705,7/23/2009,6,1,1019213.575,284211.8736,1
SEDOL,ID-000857,1024246.056,387041.4712,EQ,2,2,3,0.1411,2/12/2035,4,2,4927522.208,262489.5937,3
SEDOL,ID-000858,625006.9329,438334.9776,EQ,1,5,1,0.2863,3/14/2013,2,1,1290808.146,303806.6051,2
CUSIP,ID-000859,1091729.434,434709.9215,AFS,2,9,3,0.454,12/8/2024,6,2,1223925.902,220083.8293,3
ISIN,ID-000860,652532.0134,847460.0159,EQ,2,9,1,0.202,6/2/2018,2,2,1692511.055,250551.2654,2
CUSIP,ID-000861,620099.3284,345656.4663,HTM,2,7,5,0.3172,10/6/2019,4,2,1364263.489,333929.5647,3
INTERNAL,ID-000862,642217.2042,682327.3862,AFS,1,8,4,0.2504,9/13/2023,1,2,1456581.395,255651.36,1
INTERNAL,ID-000863,661420.2473,583867.9597,AFS,2,11,1,0.941,12/14/2010,1,2,1328855.912,294704.0654,1
CUSIP,ID-000864,786311.9349,554012.2888,HTM,2,2,2,0.3005,5/3/2021,5,1,1161635.647,215048.8001,2
CUSIP,ID-000865,577822.3998,521687.5025,EQ,1,4,4,0.9637,8/15/2008,4,1,1170635.005,223750.1853,2
CUSIP,ID-000866,521682.7872,509052.4777,HTM,2,3,5,0.4458,6/8/2009,5,1,1070919.148,226614.7396,2
SEDOL,ID-000867,688344.2106,542839.3201,HTM,2,9,1,0.2182,4/15/2005,2,2,1037862.58,427006.1811,2
CUSIP,ID-000868,635875.38,346194.8249,EQ,2,11,5,0.3888,12/3/2022,2,1,1121628.459,210241.427,1
ISIN,ID-000869,656273.8729,370710.9545,HTM,2,5,5,0.1728,2/28/2032,5,1,1194011.961,212080.4031,2
INTERNAL,ID-000870,698707.499,,HTM,1,3,5,0.444,9/29/2026,2,2,1344688.294,253742.9174,2
ISIN,ID-000871,659689.4892,322326.1834,EQ,2,7,5,0.2586,3/11/2010,6,2,1129462.923,316875.3147,3
SEDOL,ID-000872,650274.2532,377836.1643,HTM,2,9,2,0.7176,7/11/2019,5,1,,235038.2495,3
ISIN,ID-000873,691196.6561,570006.0273,EQ,2,8,1,0.2029,11/8/2023,6,2,1153744.627,215717.711,3
ISIN,ID-000874,544234.0196,505251.6978,EQ,2,4,3,0.8132,7/29/2016,3,2,1107738.14,331045.9939,2
ISIN,ID-000875,783115.0047,308741.706,AFS,1,1,2,0.4203,10/22/2013,1,1,1366096.864,252905.9675,3
SEDOL,ID-000876,661931.6281,401979.2234,HTM,1,10,5,0.7549,4/30/2008,4,2,1223274.699,337504.6825,3
SEDOL,ID-000877,722769.3897,418203.525,EQ,2,2,4,0.2259,2/28/2021,6,2,1349116.379,425533.7917,2
INTERNAL,ID-000878,1134781.4,732595.8539,AFS,1,3,1,0.3895,11/16/2005,4,2,1092733.843,207573.4077,2
SEDOL,ID-000879,659269.9837,448190.6099,HTM,1,8,2,0.0967,2/21/2005,3,1,1035553.703,280323.7039,1
ISIN,ID-000880,641637.8809,261220.6056,EQ,1,3,2,0.0094,8/5/2024,1,1,1029589.256,313076.163,2
ISIN,ID-000881,709849.5293,593128.3415,EQ,2,7,4,0.3271,2/21/2008,2,2,1511007.543,212270.6513,1
SEDOL,ID-000882,862747.435,522479.6419,AFS,2,3,1,0.1739,12/13/2032,5,2,1300719.001,255978.0513,3
